it_co_receita,it_no_receita
9243,IPERON- CGAG- Servidor,9243 - IPERON- CGAG- Servidor
9244,IPERON- CGAG- Patronal,9244 - IPERON- CGAG- Patronal
9245,IPERON- CGAG- Outros,9245 - IPERON- CGAG- Outros
9246,IPERON- CGAG- Lic s/venc- Servidor,9246 - IPERON- CGAG- Lic s/venc- Servidor
9247,IPERON- CGAG- Lic s/venc- Patronal,9247 - IPERON- CGAG- Lic s/venc- Patronal
9248,IPERON- CGAG- Juros/M /AtM - Servidor,9248 - IPERON- CGAG- Juros/M /AtM - Servidor
9249,IPERON- CGAG- Juros/M /AtM - Patronal,9249 - IPERON- CGAG- Juros/M /AtM - Patronal
9250,IPERON - FPC - Ativo Civil,9250 - IPERON - FPC - Ativo Civil
9251,IPERON - FPC - Inativo Civil,9251 - IPERON - FPC - Inativo Civil
9252,IPERON - FPC - Pensionis ta Civil,9252 - IPERON - FPC - Pensionis ta Civil
9253,IPERON - FPC - Ativo Milita r,9253 - IPERON - FPC - Ativo Milita r
9254,IPERON - FPC - Inativo Milita r,9254 - IPERON - FPC - Inativo Milita r
9255,IPERON - FPC - Pensionis ta Militar,9255 - IPERON - FPC - Pensionis ta Militar
9256,IPERON - FPC - Ativo Civil (E .A ),9256 - IPERON - FPC - Ativo Civil (E .A )
9257,IPERON - FPC - Inativo Civil (E.A),9257 - IPERON - FPC - Inativo Civil (E.A)
9258,IPERON - FPC - Pensionis ta Civil (E .A),9258 - IPERON - FPC - Pensionis ta Civil (E .A)
9259,IPERON - FPC - Ativo Milita r (E.A ),9259 - IPERON - FPC - Ativo Milita r (E.A )
9260,IPERON - FPC - Inativo Milita r (E.A ),9260 - IPERON - FPC - Inativo Milita r (E.A )
9261,IPERON - FPC - Pensionista Militar (E.A ),9261 - IPERON - FPC - Pensionista Militar (E.A )
9262,IPERON - FPC - Licenciado sem rem uneração,9262 - IPERON - FPC - Licenciado sem rem uneração
9263,IPERON - FPC - Ativo Civil Cedido,9263 - IPERON - FPC - Ativo Civil Cedido
9264,IPERON - FPC - Cont. P atr. A tivo Civil,9264 - IPERON - FPC - Cont. P atr. A tivo Civil
9265,IPERON - FPC - Cont. Patr. Inativo Civil,9265 - IPERON - FPC - Cont. Patr. Inativo Civil
9266,IPERON - FPC - Cont. P atr. P ensionista Civil,9266 - IPERON - FPC - Cont. P atr. P ensionista Civil
9267,IPERON - FPC - Cont. P atr. A tivo Militar,9267 - IPERON - FPC - Cont. P atr. A tivo Militar
9268,IPERON - FPC - Cont. Patr. Inativo Militar,9268 - IPERON - FPC - Cont. Patr. Inativo Militar
9269,IPERON - FPC - Cont. P atr. P ensionista Militar,9269 - IPERON - FPC - Cont. P atr. P ensionista Militar
9270,IPERON - FPC - Cont. Patr. A tivo Civil (E.A),9270 - IPERON - FPC - Cont. Patr. A tivo Civil (E.A)
9271,IPERON - FPC - Cont. Patr. Inativo Civil (E .A),9271 - IPERON - FPC - Cont. Patr. Inativo Civil (E .A)
9272,IPERON - FPC - Cont. P atr. P ensionista Civil (E.A),9272 - IPERON - FPC - Cont. P atr. P ensionista Civil (E.A)
9273,IPERON - FPC - Cont. P atr. A tivo Militar (E .A ),9273 - IPERON - FPC - Cont. P atr. A tivo Militar (E .A )
9274,IPERON - FPC - Cont. Patr. Inativo Militar (E .A ),9274 - IPERON - FPC - Cont. Patr. Inativo Militar (E .A )
9275,IPERON - FPC - Cont. P atr. P ensionista Militar (E .A ),9275 - IPERON - FPC - Cont. P atr. P ensionista Militar (E .A )
9276,IPERON - FPC - Cobert. Defice - Poder Executivo,9276 - IPERON - FPC - Cobert. Defice - Poder Executivo
9277,IPERON - FPC - Cobert. Defice - Poder Legislativo,9277 - IPERON - FPC - Cobert. Defice - Poder Legislativo
9278,IPERON - FPC - Cobert. Defice - Poder Judiciário,9278 - IPERON - FPC - Cobert. Defice - Poder Judiciário
9279,IPERON - FPC - Cobert. Defice - TCE,9279 - IPERON - FPC - Cobert. Defice - TCE
9280,IPERON - FPC - Cobert. Defice - MPE,9280 - IPERON - FPC - Cobert. Defice - MPE
9281,IPERON - FPC - Cobert. Defice - PM/BM,9281 - IPERON - FPC - Cobert. Defice - PM/BM
9282,IPERON - FPC - Devolução de Pensão do BM,9282 - IPERON - FPC - Devolução de Pensão do BM
9283,IPERON - FPC - Cont. Patr. A tivo Civil Cedido,9283 - IPERON - FPC - Cont. Patr. A tivo Civil Cedido
9284,IPERON - FPC - Cont. Patr. Licenciado sem remuneração,9284 - IPERON - FPC - Cont. Patr. Licenciado sem remuneração
9285,IPERON- SESDEC- Servidor,9285 - IPERON- SESDEC- Servidor
9286,IPERON- SESDEC- Patronal,9286 - IPERON- SESDEC- Patronal
9287,IPERON- SESDEC- Outros,9287 - IPERON- SESDEC- Outros
9288,IPERON- SESDEC- Lic s /venc- Servidor,9288 - IPERON- SESDEC- Lic s /venc- Servidor
9289,IPERON- SESDEC- Lic s /venc- Patronal,9289 - IPERON- SESDEC- Lic s /venc- Patronal
9290,IPERON- SESDEC- Juros/M /AtM - Servidor,9290 - IPERON- SESDEC- Juros/M /AtM - Servidor
9291,IPERON- SESDEC- Juros/M /AtM - Patronal,9291 - IPERON- SESDEC- Juros/M /AtM - Patronal
9292,IPERON- DETRAN- Servidor,9292 - IPERON- DETRAN- Servidor
9293,IPERON- DETRAN- Patronal,9293 - IPERON- DETRAN- Patronal
9294,IPERON- DETRAN- Outros,9294 - IPERON- DETRAN- Outros
9295,IPERON- DETRAN- Lic s /venc- Servidor,9295 - IPERON- DETRAN- Lic s /venc- Servidor
9296,IPERON- DETRAN- Lic s /venc- Patronal,9296 - IPERON- DETRAN- Lic s /venc- Patronal
9297,IPERON- DETRAN- Juros/M /AtM - Servidor,9297 - IPERON- DETRAN- Juros/M /AtM - Servidor
9298,IPERON- DETRAN- Juros/M /AtM - Patronal,9298 - IPERON- DETRAN- Juros/M /AtM - Patronal
9299,IPERON- SEDUC- Servidor,9299 - IPERON- SEDUC- Servidor
9300,IPERON- SEDUC- Patronal,9300 - IPERON- SEDUC- Patronal
9301,IPERON- SEDUC- Outros,9301 - IPERON- SEDUC- Outros
9302,IPERON- SEDUC- Lic s/venc- Servidor,9302 - IPERON- SEDUC- Lic s/venc- Servidor
9303,IPERON- SEDUC- Lic s/venc- Patronal,9303 - IPERON- SEDUC- Lic s/venc- Patronal
9304,IPERON- SEDUC- Juros/M/AtM - Servidor,9304 - IPERON- SEDUC- Juros/M/AtM - Servidor
9305,IPERON- SEDUC- Juros/M/AtM - Patronal,9305 - IPERON- SEDUC- Juros/M/AtM - Patronal
9306,IPERON- SESAU- Servidor,9306 - IPERON- SESAU- Servidor
9307,IPERON- SESAU- Patronal,9307 - IPERON- SESAU- Patronal
9308,IPERON- SESAU- Outros,9308 - IPERON- SESAU- Outros
9309,IPERON- SESAU- Lic s/venc- Servidor,9309 - IPERON- SESAU- Lic s/venc- Servidor
9310,IPERON- SESAU- Lic s /venc- Patronal,9310 - IPERON- SESAU- Lic s /venc- Patronal
9311,IPERON- SESAU- Juros/M/AtM - Servidor,9311 - IPERON- SESAU- Juros/M/AtM - Servidor
9312,IPERON- SESAU- Juros/M/AtM - Patronal,9312 - IPERON- SESAU- Juros/M/AtM - Patronal
9313,IPERON- CETAS- Servidor,9313 - IPERON- CETAS- Servidor
9314,IPERON- CETAS- Patronal,9314 - IPERON- CETAS- Patronal
9315,IPERON- CETAS- Outros,9315 - IPERON- CETAS- Outros
9316,IPERON- CETAS- Lic s/venc- Servidor,9316 - IPERON- CETAS- Lic s/venc- Servidor
9317,IPERON- CETAS- Lic s/venc- Patronal,9317 - IPERON- CETAS- Lic s/venc- Patronal
9318,IPERON- CETAS- Juros/M /A tM - Servidor,9318 - IPERON- CETAS- Juros/M /A tM - Servidor
9319,IPERON- CETAS- Juros/M /A tM - Patronal,9319 - IPERON- CETAS- Juros/M /A tM - Patronal
9320,IPERON- FHEMERON- Servidor,9320 - IPERON- FHEMERON- Servidor
9321,IPERON- FHEMERON- Patrona l,9321 - IPERON- FHEMERON- Patrona l
9322,IPERON- FHEMERON- Outros,9322 - IPERON- FHEMERON- Outros
9323,IPERON- FHEMERON- Lic s/venc- Servidor,9323 - IPERON- FHEMERON- Lic s/venc- Servidor
9324,IPERON- FHEMERON- Lic s/venc- Patronal,9324 - IPERON- FHEMERON- Lic s/venc- Patronal
9325,IPERON- FHEMERON- Juros/M /AtM - Servidor,9325 - IPERON- FHEMERON- Juros/M /AtM - Servidor
9326,IPERON- FHEMERON- Juros/M /AtM - Patronal,9326 - IPERON- FHEMERON- Juros/M /AtM - Patronal
9327,IPERON- AGEVISA- Servidor,9327 - IPERON- AGEVISA- Servidor
9328,IPERON- AGEVISA- Patronal,9328 - IPERON- AGEVISA- Patronal
9329,IPERON- AGEVISA- Outros,9329 - IPERON- AGEVISA- Outros
9330,IPERON- AGEVISA- Lic s/venc- Servidor,9330 - IPERON- AGEVISA- Lic s/venc- Servidor
9331,IPERON- AGEVISA- Lic s/venc- Patronal,9331 - IPERON- AGEVISA- Lic s/venc- Patronal
9332,IPERON- AGEVISA- Juros/M /A tM - Servidor,9332 - IPERON- AGEVISA- Juros/M /A tM - Servidor
9333,IPERON- AGEVISA- Juros/M /A tM - Patronal,9333 - IPERON- AGEVISA- Juros/M /A tM - Patronal
9334,IPERON- SEDAM- Servidor,9334 - IPERON- SEDAM- Servidor
9335,IPERON- SEDAM- Patronal,9335 - IPERON- SEDAM- Patronal
9336,IPERON- SEDAM- Outros,9336 - IPERON- SEDAM- Outros
9337,IPERON- SEDAM- Lic s/venc- Servidor,9337 - IPERON- SEDAM- Lic s/venc- Servidor
9338,IPERON- SEDAM- Lic s/venc- Patronal,9338 - IPERON- SEDAM- Lic s/venc- Patronal
9339,IPERON- SEDAM- Juros/M /A tM - Servidor,9339 - IPERON- SEDAM- Juros/M /A tM - Servidor
9340,IPERON- SEDAM- Juros/M /A tM - Patronal,9340 - IPERON- SEDAM- Juros/M /A tM - Patronal
9341,IPERON- SEAPES- Servidor,9341 - IPERON- SEAPES- Servidor
9342,IPERON- SEAPES- Patronal,9342 - IPERON- SEAPES- Patronal
9343,IPERON- SEAPES- Outros,9343 - IPERON- SEAPES- Outros
9344,IPERON- SEAPES- Lic s/venc- Servidor,9344 - IPERON- SEAPES- Lic s/venc- Servidor
9345,IPERON- SEAPES- Lic s/venc- Patronal,9345 - IPERON- SEAPES- Lic s/venc- Patronal
9346,IPERON- SEAPES- Juros/M/A tM- Servidor,9346 - IPERON- SEAPES- Juros/M/A tM- Servidor
9347,IPERON- SEAPES- Juros/M/A tM- Patronal,9347 - IPERON- SEAPES- Juros/M/A tM- Patronal
9348,IPERON- IPEM- Servidor,9348 - IPERON- IPEM- Servidor
9349,IPERON- IPEM- Patronal,9349 - IPERON- IPEM- Patronal
9350,IPERON- IPEM- Outros,9350 - IPERON- IPEM- Outros
9351,IPERON- IPEM- Lic s/venc- Servidor,9351 - IPERON- IPEM- Lic s/venc- Servidor
9352,IPERON- IPEM- Lic s/venc- Patronal,9352 - IPERON- IPEM- Lic s/venc- Patronal
9353,IPERON- IPEM- Juros/M/A tM - Servidor,9353 - IPERON- IPEM- Juros/M/A tM - Servidor
9354,IPERON- IPEM- Juros/M/A tM - Patronal,9354 - IPERON- IPEM- Juros/M/A tM - Patronal
9355,IPERON- JUCER- Servidor,9355 - IPERON- JUCER- Servidor
9356,IPERON- JUCER- Patronal,9356 - IPERON- JUCER- Patronal
9357,IPERON- JUCER- Outros,9357 - IPERON- JUCER- Outros
9358,IPERON- JUCER- Lic s/venc- Servidor,9358 - IPERON- JUCER- Lic s/venc- Servidor
9359,IPERON- JUCER- Lic s/venc- Patronal,9359 - IPERON- JUCER- Lic s/venc- Patronal
9360,IPERON- JUCER- Juros/M /A tM - Servidor,9360 - IPERON- JUCER- Juros/M /A tM - Servidor
9361,IPERON- JUCER- Juros/M /A tM - Patronal,9361 - IPERON- JUCER- Juros/M /A tM - Patronal
9362,IPERON- IDARON- Servidor,9362 - IPERON- IDARON- Servidor
9363,IPERON- IDARON- Patronal,9363 - IPERON- IDARON- Patronal
9364,IPERON- IDARON- Outros,9364 - IPERON- IDARON- Outros
9365,IPERON- IDARON- Lic s/venc- Servidor,9365 - IPERON- IDARON- Lic s/venc- Servidor
9366,IPERON- IDARON- Lic s/venc- Patronal,9366 - IPERON- IDARON- Lic s/venc- Patronal
9367,IPERON- IDARON- Juros/M /A tM - Servidor,9367 - IPERON- IDARON- Juros/M /A tM - Servidor
9368,IPERON- IDARON- Juros/M /A tM - Patronal,9368 - IPERON- IDARON- Juros/M /A tM - Patronal
9369,IPERON- SECEL- Servidor,9369 - IPERON- SECEL- Servidor
9370,IPERON- SECEL- Patronal,9370 - IPERON- SECEL- Patronal
9371,IPERON- SECEL- Outros,9371 - IPERON- SECEL- Outros
9372,IPERON- SECEL- Lic s/venc- Servidor,9372 - IPERON- SECEL- Lic s/venc- Servidor
9373,IPERON- SECEL- Lic s/venc- Patronal,9373 - IPERON- SECEL- Lic s/venc- Patronal
9374,IPERON- SECEL- Juros/M /AtM - Servidor,9374 - IPERON- SECEL- Juros/M /AtM - Servidor
9375,IPERON- SECEL- Juros/M /AtM - Patronal,9375 - IPERON- SECEL- Juros/M /AtM - Patronal
9376,IPERON- SEAPEN- Servidor,9376 - IPERON- SEAPEN- Servidor
9377,IPERON- SEAPEN- Patronal,9377 - IPERON- SEAPEN- Patronal
9378,IPERON- SEAPEN- Outros,9378 - IPERON- SEAPEN- Outros
9379,IPERON- SEAPEN- Lic s/venc- Servidor,9379 - IPERON- SEAPEN- Lic s/venc- Servidor
9380,IPERON- SEAPEN- Lic s/venc- Patronal,9380 - IPERON- SEAPEN- Lic s/venc- Patronal
9381,IPERON- SEAPEN- Juros/M /A tM - Servidor,9381 - IPERON- SEAPEN- Juros/M /A tM - Servidor
9382,IPERON- SEAPEN- Juros/M /A tM - Patronal,9382 - IPERON- SEAPEN- Juros/M /A tM - Patronal
9383,IPERON- SEAD- Servidor,9383 - IPERON- SEAD- Servidor
9384,IPERON- SEAD- Patronal,9384 - IPERON- SEAD- Patronal
9385,IPERON- SEAD- Outros,9385 - IPERON- SEAD- Outros
9386,IPERON- SEAD- Lic s/venc- Servidor,9386 - IPERON- SEAD- Lic s/venc- Servidor
9387,IPERON- SEAD- Lic s/venc- Patronal,9387 - IPERON- SEAD- Lic s/venc- Patronal
9388,IPERON- SEAD- Juros/M /AtM - Servidor,9388 - IPERON- SEAD- Juros/M /AtM - Servidor
9389,IPERON- SEAD- Juros/M /AtM - Patronal,9389 - IPERON- SEAD- Juros/M /AtM - Patronal
9390,IPERON- IPERON- Servidor,9390 - IPERON- IPERON- Servidor
9391,IPERON- IPERON- Patronal,9391 - IPERON- IPERON- Patronal
9392,IPERON- IPERON- Outros,9392 - IPERON- IPERON- Outros
9393,IPERON- IPERON- Lic s/venc- Servidor,9393 - IPERON- IPERON- Lic s/venc- Servidor
9394,IPERON- IPERON- Lic s/venc- Patronal,9394 - IPERON- IPERON- Lic s/venc- Patronal
9395,IPERON- IPERON- Juros/M/AtM- Servidor,9395 - IPERON- IPERON- Juros/M/AtM- Servidor
9396,IPERON- IPERON- Juros/M/AtM- Patronal,9396 - IPERON- IPERON- Juros/M/AtM- Patronal
9397,IPERON- MP- Servidor,9397 - IPERON- MP- Servidor
9398,IPERON- MP- Patronal,9398 - IPERON- MP- Patronal
9399,IPERON- MP- Outros,9399 - IPERON- MP- Outros
9400,IPERON- MP- L ic s/venc- Servidor,9400 - IPERON- MP- L ic s/venc- Servidor
9401,IPERON- MP- L ic s/venc- Patronal,9401 - IPERON- MP- L ic s/venc- Patronal
9402,IPERON- MP- Juros/M /A tM - Servidor,9402 - IPERON- MP- Juros/M /A tM - Servidor
9403,IPERON- MP- Juros/M /A tM - Patronal,9403 - IPERON- MP- Juros/M /A tM - Patronal
9404,IPERON- DPE- Servidor,9404 - IPERON- DPE- Servidor
9405,IPERON- DPE- Patronal,9405 - IPERON- DPE- Patronal
9406,IPERON- DPE- Outros,9406 - IPERON- DPE- Outros
9407,IPERON- DPE- Lic s/venc- Servidor,9407 - IPERON- DPE- Lic s/venc- Servidor
9408,IPERON- DPE- Lic s/venc- Patronal,9408 - IPERON- DPE- Lic s/venc- Patronal
9409,IPERON- DPE- Juro s/M /A tM - Servidor,9409 - IPERON- DPE- Juro s/M /A tM - Servidor
9410,IPERON- DPE- Juro s/M /A tM - Patronal,9410 - IPERON- DPE- Juro s/M /A tM - Patronal
9411,IPERON- TRE- Servidor,9411 - IPERON- TRE- Servidor
9412,IPERON- TRE- Patronal,9412 - IPERON- TRE- Patronal
9413,IPERON- TRE- Outros,9413 - IPERON- TRE- Outros
9414,IPERON- TRE- Juros/M /AtM- Servidor,9414 - IPERON- TRE- Juros/M /AtM- Servidor
9415,IPERON- TRE- Juros/M /AtM- Patronal,9415 - IPERON- TRE- Juros/M /AtM- Patronal
9416,IPERON- TRT- Servidor,9416 - IPERON- TRT- Servidor
9417,IPERON- TRT- Patronal,9417 - IPERON- TRT- Patronal
9418,IPERON- TRT- Outros,9418 - IPERON- TRT- Outros
9419,IPERON- TRT- Juros/M /AtM - Servidor,9419 - IPERON- TRT- Juros/M /AtM - Servidor
9420,IPERON- TRT- Juros/M /AtM - Patronal,9420 - IPERON- TRT- Juros/M /AtM - Patronal
9421,IPERON- SENADO FED- Servidor,9421 - IPERON- SENADO FED- Servidor
9422,IPERON- SENADO FED- Patronal,9422 - IPERON- SENADO FED- Patronal
9423,IPERON- SENADO FED- Outros,9423 - IPERON- SENADO FED- Outros
9424,IPERON- SENADO FED- Juros/M /A tM - Servidor,9424 - IPERON- SENADO FED- Juros/M /A tM - Servidor
9425,IPERON- SENADO FED- Juros/M /A tM - Patronal,9425 - IPERON- SENADO FED- Juros/M /A tM - Patronal
9426,IPERON- CAMARA DEP- Servidor,9426 - IPERON- CAMARA DEP- Servidor
9427,IPERON- CAMARA DEP- Patronal,9427 - IPERON- CAMARA DEP- Patronal
9428,IPERON- CAMARA DEP- Outros,9428 - IPERON- CAMARA DEP- Outros
9429,IPERON- CAMARA DEP- Juros/M /A tM- Servidor,9429 - IPERON- CAMARA DEP- Juros/M /A tM- Servidor
9430,IPERON- CAMARA DEP- Juros/M /A tM- Patronal,9430 - IPERON- CAMARA DEP- Juros/M /A tM- Patronal
9431,IPERON- CAMARAS MUN- Servidor,9431 - IPERON- CAMARAS MUN- Servidor
9432,IPERON- CAMARAS MUN- Patronal,9432 - IPERON- CAMARAS MUN- Patronal
9433,IPERON- CAMARAS MUN- Outros,9433 - IPERON- CAMARAS MUN- Outros
9434,IPERON- CAMARAS MUN- Juros/M/AtM - Servidor,9434 - IPERON- CAMARAS MUN- Juros/M/AtM - Servidor
9435,IPERON- CAMARAS MUN- Juros/M/AtM - Patronal,9435 - IPERON- CAMARAS MUN- Juros/M/AtM - Patronal
9436,IPERON- PREF ALTA FLORESTA- Servidor,9436 - IPERON- PREF ALTA FLORESTA- Servidor
9437,IPERON- PREF ALTA FLORESTA- Patronal,9437 - IPERON- PREF ALTA FLORESTA- Patronal
9438,IPERON- PREF ALTA FLORESTA- Outros,9438 - IPERON- PREF ALTA FLORESTA- Outros
9439,IPERON- PREF A FLORESTA- Juros/M /A tM - Servidor,9439 - IPERON- PREF A FLORESTA- Juros/M /A tM - Servidor
9440,IPERON- PREF A FLORESTA- Juros/M /A tM - Patronal,9440 - IPERON- PREF A FLORESTA- Juros/M /A tM - Patronal
9441,IPERON- PREF ARIQUEMES- Servidor,9441 - IPERON- PREF ARIQUEMES- Servidor
9443,IPERON- PREF ARIQUEMES- Outros,9443 - IPERON- PREF ARIQUEMES- Outros
9444,IPERON- PREF ARIQUEMES- Juros/M /A tM - Servidor,9444 - IPERON- PREF ARIQUEMES- Juros/M /A tM - Servidor
9445,IPERON- PREF ARIQUEMES- Juros/M /A tM - Patronal,9445 - IPERON- PREF ARIQUEMES- Juros/M /A tM - Patronal
9446,IPERON- PREF CABIXI- Servidor,9446 - IPERON- PREF CABIXI- Servidor
9447,IPERON- PREF CABIXI- Patronal,9447 - IPERON- PREF CABIXI- Patronal
9448,IPERON- PREF CABIXI- Outros,9448 - IPERON- PREF CABIXI- Outros
9449,IPERON- PREF CABIXI- Juro s/M /A tM - Servidor,9449 - IPERON- PREF CABIXI- Juro s/M /A tM - Servidor
9450,IPERON- PREF CABIXI- Juro s/M /A tM - Patronal,9450 - IPERON- PREF CABIXI- Juro s/M /A tM - Patronal
9451,IPERON- PREF CACOAL- Servidor,9451 - IPERON- PREF CACOAL- Servidor
9452,IPERON- PREF CACOAL- Patronal,9452 - IPERON- PREF CACOAL- Patronal
9453,IPERON- PREF CACOAL- Outros,9453 - IPERON- PREF CACOAL- Outros
9454,IPERON- PREF CACOAL- Juros/M/AtM - Servidor,9454 - IPERON- PREF CACOAL- Juros/M/AtM - Servidor
9455,IPERON- PREF CACOAL- Juros/M/AtM - Patronal,9455 - IPERON- PREF CACOAL- Juros/M/AtM - Patronal
9456,IPERON- PREF CEREJEIRAS- Servidor,9456 - IPERON- PREF CEREJEIRAS- Servidor
9457,IPERON- PREF CEREJEIRAS- Patronal,9457 - IPERON- PREF CEREJEIRAS- Patronal
9458,IPERON- PREF CEREJEIRAS- Outros,9458 - IPERON- PREF CEREJEIRAS- Outros
9459,IPERON- PREF CEREJEIRAS- Juros/M /AtM- Servidor,9459 - IPERON- PREF CEREJEIRAS- Juros/M /AtM- Servidor
9460,IPERON- PREF CEREJEIRAS- Juros/M /AtM- Patronal,9460 - IPERON- PREF CEREJEIRAS- Juros/M /AtM- Patronal
9461,IPERON- PREF COLORADO D 'OESTE- Servidor,9461 - IPERON- PREF COLORADO D 'OESTE- Servidor
9462,IPERON- PREF COLORADO D 'OESTE- Patronal,9462 - IPERON- PREF COLORADO D 'OESTE- Patronal
9463,IPERON- PREF COLORADO D 'OESTE- Outros,9463 - IPERON- PREF COLORADO D 'OESTE- Outros
9464,IPERON- PREF COLORADO- Juros/M /AtM - Servidor,9464 - IPERON- PREF COLORADO- Juros/M /AtM - Servidor
9465,IPERON- PREF COLORADO- Juros/M /AtM - Patronal,9465 - IPERON- PREF COLORADO- Juros/M /AtM - Patronal
9466,IPERON- PREF CORUMBIARA- Servidor,9466 - IPERON- PREF CORUMBIARA- Servidor
9467,IPERON- PREF CORÚMBIARA- Patronal,9467 - IPERON- PREF CORÚMBIARA- Patronal
9468,IPERON- PREF CORUMBIARA- Outros,9468 - IPERON- PREF CORUMBIARA- Outros
9469,IPERON- PREF CORUMBIARA- Juros/M/AtM- Servidor,9469 - IPERON- PREF CORUMBIARA- Juros/M/AtM- Servidor
9470,IPERON- PREF CORUMBIARA- Juros/M/AtM- Patronal,9470 - IPERON- PREF CORUMBIARA- Juros/M/AtM- Patronal
9471,IPERON- PREF COSTA MARQUES- Servidor,9471 - IPERON- PREF COSTA MARQUES- Servidor
9472,IPERON- PREF COSTA MARQUES- Patronal,9472 - IPERON- PREF COSTA MARQUES- Patronal
9473,IPERON- PREF COSTA MARQUES- Outros,9473 - IPERON- PREF COSTA MARQUES- Outros
9474,IPERON- PREF C MARQUES- Juros/M /AtM - Servidor,9474 - IPERON- PREF C MARQUES- Juros/M /AtM - Servidor
9475,IPERON- PREF C MARQUES- Juros/M /AtM - Patronal,9475 - IPERON- PREF C MARQUES- Juros/M /AtM - Patronal
9476,IPERON- PREF ESP IGÃO D'OESTE- Servidor,9476 - IPERON- PREF ESP IGÃO D'OESTE- Servidor
9477,IPERON- PREF ESP IGAO D'OESTE- Patronal,9477 - IPERON- PREF ESP IGAO D'OESTE- Patronal
9478,IPERON- PREF ESP IGÃO D'OESTE- Outros,9478 - IPERON- PREF ESP IGÃO D'OESTE- Outros
9479,IPERON- PREF ESP IGÃO- Juros/M /AtM- Servidor,9479 - IPERON- PREF ESP IGÃO- Juros/M /AtM- Servidor
9480,IPERON- PREF ESP IGÃO- Juros/M /AtM- Patronal,9480 - IPERON- PREF ESP IGÃO- Juros/M /AtM- Patronal
9481,IPERON- PREF GUAJARA MIR IM - Servidor,9481 - IPERON- PREF GUAJARA MIR IM - Servidor
9482,IPERON- PREF GUAJARA MIR IM - Patronal,9482 - IPERON- PREF GUAJARA MIR IM - Patronal
9483,IPERON- PREF GUAJARA MIR IM - Outros,9483 - IPERON- PREF GUAJARA MIR IM - Outros
9484,IPERON- PREF G MIR IM - Juros /M/A tM - Servidor,9484 - IPERON- PREF G MIR IM - Juros /M/A tM - Servidor
9485,IPERON- PREF G MIR IM - Juros /M/A tM - Patronal,9485 - IPERON- PREF G MIR IM - Juros /M/A tM - Patronal
9486,IPERON- PREF JARU- Servidor,9486 - IPERON- PREF JARU- Servidor
9487,IPERON- PREF JARU- Patronal,9487 - IPERON- PREF JARU- Patronal
9488,IPERON- PREF JARU- Outros,9488 - IPERON- PREF JARU- Outros
9489,IPERON- PREF JARU- Juros/M/AtM- Servidor,9489 - IPERON- PREF JARU- Juros/M/AtM- Servidor
9490,IPERON- PREF JARU- Juros/M/AtM- Patronal,9490 - IPERON- PREF JARU- Juros/M/AtM- Patronal
9491,IPERON- PREF JI-PARANA- Servidor,9491 - IPERON- PREF JI-PARANA- Servidor
9492,IPERON- PREF JI-PARANA- Patronal,9492 - IPERON- PREF JI-PARANA- Patronal
9493,IPERON- PREF JI-PARANA- Outros,9493 - IPERON- PREF JI-PARANA- Outros
9494,IPERON- PREF JI-PARANA- Juros/M /AtM - Servidor,9494 - IPERON- PREF JI-PARANA- Juros/M /AtM - Servidor
9495,IPERON- PREF JI-PARANA- Juros/M /AtM - Patronal,9495 - IPERON- PREF JI-PARANA- Juros/M /AtM - Patronal
9496,IPERON- PREF MACHADINHO D'OESTE- Servidor,9496 - IPERON- PREF MACHADINHO D'OESTE- Servidor
9497,IPERON- PREF MACHADINHO D'OESTE- Patronal,9497 - IPERON- PREF MACHADINHO D'OESTE- Patronal
9498,IPERON- PREF MACHADINHO D'OESTE- Outros,9498 - IPERON- PREF MACHADINHO D'OESTE- Outros
9499,IPERON- PREF MACHADINHO- Juros/M /AtM- Servidor,9499 - IPERON- PREF MACHADINHO- Juros/M /AtM- Servidor
9500,IPERON- PREF MACHADINHO- Juros/M /AtM- Patronal,9500 - IPERON- PREF MACHADINHO- Juros/M /AtM- Patronal
9501,IPERON- PREF NOVA BRASILANDIA- Servidor,9501 - IPERON- PREF NOVA BRASILANDIA- Servidor
9502,IPERON- PREF NOVA BRASILANDIA- Patronal,9502 - IPERON- PREF NOVA BRASILANDIA- Patronal
9503,IPERON- PREF NOVA BRASILANDIA- Outros,9503 - IPERON- PREF NOVA BRASILANDIA- Outros
9504,IPERON- PREF N BRASILANDIA- Juros/M /AtM- Servidor,9504 - IPERON- PREF N BRASILANDIA- Juros/M /AtM- Servidor
9505,IPERON- PREF N BRASILANDIA- Juros/M /AtM- Patronal,9505 - IPERON- PREF N BRASILANDIA- Juros/M /AtM- Patronal
9506,IPERON- PREF OURO PRETO- Servidor,9506 - IPERON- PREF OURO PRETO- Servidor
9507,IPERON- PREF OURO PRETO- Patronal,9507 - IPERON- PREF OURO PRETO- Patronal
9508,IPERON- PREF OURO PRETO- Outros,9508 - IPERON- PREF OURO PRETO- Outros
9509,IPERON- PREF OURO PRETO- Juros/M /AtM- Servidor,9509 - IPERON- PREF OURO PRETO- Juros/M /AtM- Servidor
9510,IPERON- PREF OURO PRETO- Juros/M /AtM- Patronal,9510 - IPERON- PREF OURO PRETO- Juros/M /AtM- Patronal
9511,IPERON- PREF P IMENTA BUENO- Servidor,9511 - IPERON- PREF P IMENTA BUENO- Servidor
9512,IPERON- PREF P IMENTA BUENO- Patronal,9512 - IPERON- PREF P IMENTA BUENO- Patronal
